iter	Recall	CrossEntropy
561	0.4720251747	0.6555399486
562	0.472131847	0.6555345016
563	0.4720785109	0.6555073513
564	0.4726652088	0.6554694925
565	0.472718545	0.6554654418
566	0.4728785535	0.6554428653
567	0.4728252173	0.6554340099
568	0.4727452131	0.6554315449
569	0.473011894	0.6553958333
570	0.4729318897	0.6553902772
571	0.4728785535	0.6553555872
572	0.4729585578	0.6553426968
573	0.4728785535	0.6553345595
574	0.4727985493	0.6553231391
575	0.4726652088	0.6553132988
576	0.4729585578	0.6552988204
577	0.473011894	0.6552897194
578	0.473011894	0.6552743219
579	0.473011894	0.6552494218
580	0.473331911	0.655234419
581	0.4732785749	0.6552305887
582	0.4731985706	0.6552245795
583	0.4733052429	0.6552127834
584	0.4732519068	0.6552007092
585	0.4733852472	0.6551894429
586	0.4734119153	0.6551851245
587	0.4735185877	0.6551797843
588	0.4739719452	0.6551462634
589	0.4739452771	0.6551401388
590	0.4741586218	0.6551267931
591	0.4741586218	0.6551100432
592	0.4741852899	0.6551033556
593	0.4747186517	0.6550619543
594	0.4746386474	0.6550511095
595	0.4749053283	0.6550282021
596	0.4747453198	0.6550210662
597	0.4751986773	0.6549393618
598	0.4750920049	0.6549340145
599	0.4750920049	0.6549274994
600	0.4750386687	0.6549213897
601	0.475118673	0.6549077338
602	0.4751453411	0.6548968125
603	0.4753320177	0.6548914561
604	0.4753320177	0.6548835033
605	0.4753320177	0.6548739814
606	0.4753053496	0.6548668614
607	0.4752520134	0.6548469026
608	0.4748786602	0.6548158574
609	0.4750653368	0.6548015403
610	0.4752520134	0.6547908953
611	0.4750920049	0.6547804395
612	0.4752253454	0.654768323
613	0.475412022	0.6547427532
614	0.4754386901	0.6547344299
615	0.4755453624	0.6547264011
616	0.4758387114	0.6546999674
617	0.4757853752	0.6546864657
618	0.4759720518	0.6546800054
619	0.4761053923	0.6546614241
620	0.4761587285	0.6546602249
621	0.4760787242	0.6546516234
622	0.4761587285	0.6546353168
623	0.4765587498	0.6546236105
624	0.4766654222	0.6546156763
625	0.4768254307	0.6545992893
626	0.4767987626	0.654585903
627	0.4768520988	0.6545728088
628	0.4767720945	0.6545671315
629	0.4768520988	0.6545368932
630	0.4768520988	0.6545332059
631	0.4768787669	0.6545288167
632	0.4766920902	0.6545154121
633	0.4768520988	0.6545075697
634	0.476905435	0.654501207
635	0.4768787669	0.6544961062
636	0.4769587711	0.6544862558
637	0.4768254307	0.6544807242
638	0.4769854392	0.6544626459
639	0.4769587711	0.6544596903
640	0.4772521201	0.6544284619
641	0.4776254734	0.6544119312
642	0.4775988053	0.6544035815
643	0.4777854819	0.6543918361
644	0.4777588138	0.6543888601
645	0.4778654862	0.6543771026
646	0.4780254947	0.6543662979
647	0.4779188223	0.6543525945
648	0.47781215	0.6543414471
649	0.478132167	0.6543201927
650	0.4783188437	0.6543124447
651	0.478132167	0.6543032077
652	0.4781855032	0.6542862667
653	0.478105499	0.6542716082
654	0.4781855032	0.654265167
655	0.4785321884	0.6542433199
656	0.4784788522	0.6542309639
657	0.4785321884	0.654222268
658	0.4785321884	0.6542154567
659	0.4785321884	0.6542087544
660	0.4786388607	0.6542037129
661	0.478718865	0.654201113
662	0.4786921969	0.6541963983
663	0.4785588565	0.6541845134
664	0.4785855246	0.6541715111
665	0.4786655288	0.6541667631
666	0.479012214	0.6541489768
667	0.4787988693	0.654143838
668	0.478718865	0.6541363692
669	0.4787722012	0.6540968958
670	0.4790922183	0.6540845444
671	0.4790922183	0.6540784013
672	0.4793588991	0.6540618019
673	0.479305563	0.6540561195
674	0.4794389034	0.654041885
675	0.4794389034	0.6540378526
676	0.4796789162	0.6540245255
677	0.4797589205	0.6540140727
678	0.479918929	0.6539979347
679	0.4798122567	0.6539918941
680	0.479918929	0.6539733246
681	0.4798922609	0.6539649556
682	0.4798655928	0.6539483877
683	0.4799455971	0.6539388581
684	0.4799722652	0.6539348243
685	0.4801056056	0.6539309184
686	0.4803189503	0.6539246711
687	0.4804256227	0.6539199249
688	0.4806122993	0.6539105507
689	0.4807989759	0.653892619
690	0.4807723079	0.6538697403
691	0.4807723079	0.6538643595
692	0.4807723079	0.6538598673
693	0.480825644	0.6538306547
694	0.4809056483	0.6538223994
695	0.4809856526	0.6538169322
696	0.4809856526	0.6537996504
697	0.4810123207	0.6537945604
698	0.4810656568	0.6537883293
699	0.4807989759	0.6537763875
700	0.4810656568	0.6537626197
701	0.481118993	0.6537556439
702	0.4811456611	0.6537465819
703	0.4810656568	0.6537149545
704	0.4810656568	0.6537087578
705	0.4811989973	0.6537020541
706	0.4810389887	0.6536965336
707	0.4812523335	0.6536857558
708	0.4812523335	0.6536810787
709	0.4813856739	0.6536719198
710	0.4811989973	0.6536617532
711	0.4812523335	0.6536566698
712	0.4811989973	0.6536521907
713	0.4812523335	0.6536478026
714	0.4812523335	0.6536438358
715	0.4813056696	0.6536402825
716	0.4813590058	0.6536298664
717	0.4813323377	0.653626117
718	0.4815456824	0.6536069658
719	0.4818390314	0.6535815215
720	0.4819190357	0.6535719957
721	0.4819990399	0.6535677921
722	0.482025708	0.6535519258
723	0.4821057123	0.6535494173
724	0.4820523761	0.6535459697
725	0.4820790442	0.6535350207
726	0.4821323804	0.6535284065
727	0.4819723719	0.6535170458
728	0.4819723719	0.653512931
729	0.482025708	0.6535008806
730	0.482025708	0.6534959608
731	0.482319057	0.6534866727
732	0.482025708	0.6534727976
733	0.4820523761	0.6534588473
734	0.4821590485	0.6534545939
735	0.4820523761	0.6534442205
736	0.4822657208	0.6534292974
737	0.4823723932	0.6534189823
738	0.4823723932	0.653416625
739	0.4823723932	0.6534109608
740	0.4824523975	0.6534046762
741	0.4824790656	0.6534015691
742	0.4829590912	0.6533861101
743	0.482905755	0.6533809444
744	0.4828790869	0.6533646286
745	0.4827457464	0.6533597896
746	0.4830390954	0.6533545032
747	0.4834391168	0.6533452248
748	0.4831724359	0.6533333184
749	0.4831457678	0.653325824
750	0.4830924316	0.653310936
751	0.483199104	0.6533047844
752	0.4831724359	0.6532973881
753	0.4830390954	0.6532894544
754	0.4830924316	0.6532644439
755	0.4830657635	0.6532593315
756	0.4832524401	0.6532545733
757	0.4831457678	0.6532503146
758	0.4837324657	0.6532163807
759	0.4839991466	0.6532045008
760	0.4839458104	0.6531789802
761	0.484105819	0.6531626383
762	0.4841324871	0.6531558015
763	0.4840791509	0.6531501568
764	0.4845858446	0.6531390282
765	0.4842924956	0.6530965987
766	0.4843458318	0.6530833337
767	0.4844525041	0.6530691657
768	0.4846658488	0.6530641033
769	0.4846125127	0.6530544538
770	0.4842924956	0.6530461464
771	0.4844525041	0.6530407254
772	0.4844791722	0.6530377968
773	0.4843191637	0.6530341016
774	0.4843724999	0.6530312158
775	0.4845591765	0.653020014
776	0.4846925169	0.6530130418
777	0.4846658488	0.6530093791
778	0.4846658488	0.653003919
779	0.4847725212	0.6530005245
780	0.4847458531	0.6529932649
781	0.4848258574	0.652989879
782	0.4847725212	0.6529825555
783	0.4847458531	0.6529634154
784	0.4852792149	0.6529406283
785	0.4850925383	0.6529259328
786	0.4851725425	0.6529240256
787	0.4850392021	0.6529176937
788	0.4851725425	0.6529117601
789	0.4852525468	0.6529077863
790	0.4850658702	0.6528955646
791	0.4849591978	0.6528743598
792	0.4851992106	0.6528678512
793	0.4852258787	0.652866002
794	0.4851458744	0.6528576792
795	0.4850392021	0.6528458664
796	0.485305883	0.6528270429
797	0.4854392234	0.6528232557
798	0.4853325511	0.6528124763
799	0.4853858872	0.652809823
800	0.4853592192	0.6528072655
801	0.4854125553	0.6528022879
802	0.4854925596	0.652796676
803	0.4854925596	0.652794781
804	0.4857059043	0.6527620824
805	0.4858125767	0.6527522946
806	0.4854658915	0.6527401582
807	0.4854925596	0.652736483
808	0.4856259	0.6527258633
809	0.4857859086	0.6527185898
810	0.4857592405	0.6527130767
811	0.4856525681	0.652705824
812	0.485599232	0.6527024979
813	0.4857859086	0.6526952267
814	0.4858659128	0.6526921285
815	0.4858659128	0.6526872258
816	0.4858659128	0.6526858999
817	0.4860792576	0.6526822641
818	0.4860525895	0.6526793931
819	0.4860792576	0.6526692558
820	0.4859459171	0.6526551747
821	0.4857325724	0.6526494671
822	0.4858925809	0.6526407282
823	0.4858925809	0.6526370313
824	0.4861325937	0.6526127093
825	0.4860525895	0.6526117281
826	0.486212598	0.6526008847
827	0.486212598	0.6525929999
828	0.4863726065	0.6525815808
829	0.4864526108	0.6525689391
830	0.4864526108	0.652564458
831	0.4864792789	0.6525581783
832	0.4864526108	0.6525551691
833	0.486505947	0.6525532433
834	0.4864792789	0.6525487515
835	0.4864792789	0.6525344831
836	0.4863459385	0.6525264976
837	0.4862392661	0.6525187808
838	0.4863192704	0.6525120574
839	0.4863459385	0.6525102699
840	0.4863726065	0.6525076825
841	0.4863459385	0.6524966318
842	0.4863726065	0.6524927975
843	0.4864526108	0.6524910418
844	0.486212598	0.6524836552
845	0.4862392661	0.652473263
846	0.4863992746	0.6524611461
847	0.4863726065	0.652457622
848	0.4863992746	0.6524477542
849	0.4864792789	0.6524433499
850	0.4867192917	0.6524340239
851	0.4866392874	0.6524271814
852	0.4866126193	0.6524203068
853	0.4865859513	0.652413647
854	0.4866126193	0.6524074427
855	0.4866659555	0.6524037817
856	0.486505947	0.6523958274
857	0.4866392874	0.6523907453
858	0.4866926236	0.6523865803
859	0.4866926236	0.6523840506
860	0.4867192917	0.6523524408
861	0.4868526321	0.6523421344
862	0.4869059683	0.6523362872
863	0.4869326364	0.6523323404
864	0.4870393088	0.6523234105
865	0.4869326364	0.6523152808
866	0.4870126407	0.6523023892
867	0.4870126407	0.6522981958
868	0.487119313	0.6522868173
869	0.4872259854	0.6522733584
870	0.4872793216	0.6522642816
871	0.4872793216	0.6522584042
872	0.4871993173	0.652256355
873	0.4871726492	0.6522520521
874	0.4872526535	0.6522481142
875	0.4872793216	0.6522374056
876	0.4873059897	0.6522353526
877	0.4871993173	0.6522321452
878	0.4871993173	0.6522230781
879	0.4870926449	0.6522128027
